"id4","sex","AGECAT"
7305,"Boy",15
4877,"Boy",13
5263,"Boy",15
7549,"Boy",15
2448,"Girl",11
6783,"Boy",15
5224,"Girl",15
7700,"Girl",15
5728,"Boy",15
1364,"Girl",11
6336,"Girl",15
2286,"Girl",11
244,"Girl",11
3930,"Boy",13
5473,"Girl",15
5689,"Girl",15
6454,"Girl",15
4701,"Boy",13
6571,"Boy",15
1957,"Boy",11
6699,"Girl",15
1173,"Boy",11
1876,"Girl",11
4909,"Girl",13
7643,"Boy",15
7313,"Girl",15
1860,"Girl",11
5888,"Girl",15
2748,"Boy",13
5342,"Girl",15
115,"Girl",11
4403,"Boy",13
4455,"Girl",13
7556,"Girl",15
3367,"Girl",13
486,"Boy",11
599,"Girl",11
473,"Boy",11
2899,"Boy",13
4848,"Girl",13
2659,"Girl",11
6981,"Girl",15
3281,"Boy",13
4863,"Boy",13
4099,"Boy",13
7234,"Girl",15
1327,"Boy",11
7210,"Boy",15
152,"Girl",11
1206,"Boy",11
3259,"Girl",13
821,"Girl",11
2048,"Boy",11
3622,"Girl",13
1032,"Girl",11
2814,"Girl",13
5723,"Girl",15
7701,"Boy",15
6300,"Girl",15
2355,"Boy",11
1107,"Boy",11
1103,"Boy",11
7278,"Boy",15
6384,"Girl",15
4428,"Girl",13
7410,"Boy",15
3704,"Boy",13
5680,"Boy",15
2121,"Boy",11
2249,"Boy",11
2521,"Girl",11
4197,"Girl",13
105,"Girl",11
736,"Girl",11
751,"Girl",11
3939,"Girl",13
5799,"Girl",15
6670,"Girl",15
6730,"Boy",15
6620,"Girl",15
3629,"Girl",13
1634,"Girl",11
1535,"Girl",11
5239,"Girl",15
5300,"Boy",15
7377,"Boy",15
3201,"Boy",13
5739,"Girl",15
1261,"Girl",11
7674,"Boy",15
1273,"Girl",11
4790,"Boy",13
2501,"Girl",11
6704,"Girl",15
525,"Girl",11
5717,"Boy",15
6855,"Girl",15
3933,"Girl",13
5178,"Boy",15
6474,"Boy",15
4521,"Girl",13
6050,"Girl",15
2711,"Girl",13
988,"Girl",11
6002,"Boy",15
205,"Girl",11
3474,"Boy",13
6940,"Girl",15
3972,"Boy",13
2921,"Boy",13
6033,"Boy",15
7008,"Girl",15
7474,"Boy",15
7743,"Boy",15
1812,"Girl",11
1827,"Girl",11
3789,"Boy",13
3524,"Girl",13
1506,"Boy",11
2759,"Boy",13
7304,"Boy",15
4741,"Girl",13
2422,"Girl",11
1135,"Boy",11
2251,"Boy",11
4508,"Boy",13
2684,"Girl",11
2960,"Girl",13
237,"Girl",11
5565,"Girl",15
7321,"Boy",15
7785,"Boy",15
3783,"Girl",15
3543,"Girl",13
3760,"Girl",13
1447,"Boy",11
1523,"Boy",11
1874,"Girl",11
2178,"Girl",11
5415,"Boy",15
5389,"Girl",15
7136,"Boy",15
5523,"Boy",15
4773,"Boy",13
3275,"Girl",13
501,"Girl",11
3662,"Girl",13
5662,"Girl",15
4278,"Boy",13
1614,"Boy",11
5116,"Boy",15
7456,"Boy",15
3433,"Girl",13
908,"Girl",11
2890,"Boy",13
3806,"Girl",13
5958,"Girl",15
3415,"Boy",13
3794,"Boy",13
2246,"Boy",11
1757,"Boy",11
5623,"Girl",15
3087,"Girl",13
4730,"Girl",13
6780,"Boy",15
4756,"Boy",13
4010,"Boy",13
1786,"Girl",11
5013,"Girl",13
7520,"Boy",15
3229,"Girl",13
7509,"Girl",15
6635,"Girl",15
6830,"Girl",15
7176,"Girl",15
5843,"Boy",15
1304,"Boy",11
3668,"Boy",13
2862,"Boy",13
6803,"Boy",15
93,"Girl",11
7240,"Girl",15
2687,"Girl",11
3424,"Girl",13
4135,"Boy",13
6520,"Boy",15
4845,"Boy",13
775,"Boy",11
2234,"Boy",11
6141,"Boy",15
4252,"Girl",13
4825,"Boy",13
3608,"Girl",13
6011,"Girl",15
4795,"Girl",13
7054,"Boy",15
845,"Boy",11
1811,"Boy",11
4229,"Girl",13
747,"Boy",11
1029,"Boy",11
4702,"Boy",13
6555,"Boy",15
4789,"Girl",13
672,"Girl",11
1763,"Boy",11
5481,"Girl",15
3036,"Boy",13
1949,"Boy",11
4075,"Girl",13
46,"Boy",11
7378,"Girl",15
4851,"Girl",13
6790,"Girl",15
6747,"Girl",15
118,"Girl",11
7773,"Boy",15
2394,"Girl",11
965,"Girl",11
996,"Girl",11
1750,"Boy",11
424,"Boy",11
4568,"Boy",15
1060,"Boy",11
5624,"Boy",15
1209,"Girl",11
6227,"Girl",15
1369,"Boy",11
6477,"Girl",15
7567,"Boy",15
5138,"Girl",15
3969,"Boy",13
41,"Girl",11
399,"Boy",11
1770,"Boy",11
5591,"Girl",15
5073,"Girl",15
3934,"Boy",13
6211,"Boy",15
7437,"Girl",15
4833,"Girl",13
1884,"Boy",11
496,"Girl",11
6922,"Girl",15
539,"Girl",11
2485,"Girl",11
7150,"Boy",15
4910,"Girl",13
1503,"Boy",11
1358,"Boy",11
6311,"Boy",15
5165,"Boy",15
6781,"Boy",15
2783,"Boy",13
6343,"Boy",15
7691,"Girl",15
1685,"Girl",11
6042,"Boy",15
7120,"Girl",15
7756,"Girl",15
4683,"Boy",13
6886,"Girl",15
976,"Boy",11
2812,"Boy",13
4538,"Girl",13
3536,"Boy",13
3418,"Boy",13
3793,"Boy",13
6506,"Girl",15
5820,"Girl",15
4016,"Boy",13
1016,"Girl",11
1825,"Boy",11
457,"Girl",11
1306,"Boy",11
6024,"Girl",15
3149,"Girl",13
240,"Girl",11
7462,"Girl",15
5684,"Boy",15
2661,"Girl",11
469,"Boy",11
5480,"Girl",15
7407,"Girl",15
4783,"Boy",13
243,"Boy",11
2824,"Boy",13
3350,"Boy",13
7775,"Boy",15
6518,"Girl",15
6422,"Boy",15
6785,"Boy",15
732,"Girl",11
6953,"Girl",15
3650,"Girl",13
2827,"Girl",13
7508,"Girl",15
6213,"Boy",15
7364,"Boy",15
1175,"Girl",11
4219,"Boy",13
369,"Boy",11
6275,"Girl",15
5172,"Girl",15
2131,"Boy",11
631,"Boy",11
7345,"Girl",15
1085,"Girl",11
4387,"Girl",13
4554,"Girl",13
6437,"Boy",15
5100,"Boy",15
2623,"Girl",11
5356,"Boy",15
1659,"Girl",11
5106,"Boy",15
890,"Boy",11
7414,"Girl",15
858,"Boy",11
6682,"Girl",15
3882,"Boy",13
2933,"Boy",13
6799,"Girl",15
3717,"Boy",15
4183,"Boy",13
6242,"Boy",15
3634,"Girl",13
3749,"Boy",13
6295,"Girl",15
6942,"Boy",15
1114,"Girl",11
3705,"Boy",13
6350,"Boy",15
4723,"Boy",13
673,"Girl",11
7242,"Girl",15
7658,"Girl",15
6124,"Boy",15
4240,"Boy",13
5120,"Girl",15
5160,"Girl",15
6064,"Girl",15
1064,"Boy",11
2157,"Girl",11
3963,"Boy",13
2472,"Boy",11
268,"Girl",11
3816,"Boy",13
2208,"Girl",11
6027,"Boy",15
7650,"Boy",15
3238,"Girl",13
1658,"Boy",13
2357,"Boy",11
1452,"Girl",11
4588,"Girl",13
3185,"Boy",13
5923,"Girl",15
2967,"Boy",13
3562,"Girl",13
3610,"Girl",13
2459,"Boy",11
3345,"Girl",13
4142,"Boy",13
2003,"Boy",11
3276,"Girl",13
5842,"Boy",15
1154,"Boy",11
4261,"Girl",13
260,"Girl",11
2541,"Boy",11
2045,"Boy",13
292,"Boy",11
1571,"Girl",11
2800,"Girl",13
2156,"Girl",11
3917,"Girl",13
4797,"Boy",13
6837,"Girl",15
4098,"Boy",13
6897,"Girl",15
5779,"Girl",15
1000,"Girl",11
6277,"Girl",15
4013,"Boy",13
7297,"Boy",15
7530,"Boy",15
5330,"Boy",15
5932,"Girl",15
951,"Boy",11
7653,"Boy",15
4385,"Boy",13
3707,"Girl",13
2712,"Girl",13
153,"Girl",11
6523,"Girl",15
1661,"Girl",11
3224,"Boy",13
7195,"Girl",15
2895,"Boy",13
4316,"Boy",13
7482,"Girl",15
7450,"Girl",15
2,"Boy",11
1847,"Girl",11
3232,"Girl",13
6634,"Boy",15
5294,"Boy",15
6151,"Boy",15
5870,"Girl",15
3962,"Girl",13
3068,"Girl",13
2886,"Boy",13
7540,"Girl",15
3155,"Boy",11
4680,"Girl",13
3360,"Girl",13
4015,"Boy",13
6041,"Boy",15
7493,"Girl",15
901,"Girl",11
1695,"Boy",11
4299,"Girl",13
2686,"Girl",11
7401,"Girl",15
7569,"Boy",15
5543,"Boy",15
937,"Boy",11
7362,"Girl",15
7192,"Girl",15
1148,"Boy",11
2798,"Boy",13
1941,"Girl",11
5097,"Boy",15
582,"Girl",11
7578,"Boy",15
3026,"Boy",13
4942,"Boy",13
2283,"Girl",11
7159,"Boy",15
4480,"Boy",13
5434,"Girl",15
3721,"Boy",13
6121,"Boy",15
647,"Boy",11
6131,"Girl",15
7386,"Girl",15
5180,"Boy",15
3866,"Girl",13
2338,"Boy",11
2290,"Girl",11
3596,"Boy",13
2700,"Girl",13
4408,"Girl",13
6187,"Girl",15
4399,"Girl",13
39,"Girl",11
68,"Boy",11
2130,"Boy",11
7316,"Girl",15
4182,"Girl",13
5540,"Girl",15
5973,"Girl",15
3217,"Boy",13
4758,"Boy",13
6130,"Girl",15
7317,"Girl",15
1422,"Girl",11
7693,"Boy",15
7048,"Boy",15
7594,"Girl",15
234,"Boy",11
3909,"Girl",13
5827,"Girl",15
5828,"Girl",15
7082,"Girl",15
2011,"Boy",11
2673,"Girl",11
3230,"Girl",13
156,"Boy",11
1166,"Girl",11
7422,"Girl",15
1608,"Girl",11
7088,"Girl",15
2961,"Boy",13
7759,"Boy",15
1701,"Boy",13
6539,"Boy",15
2478,"Girl",11
1909,"Boy",11
6133,"Girl",15
3925,"Boy",13
6312,"Boy",15
7757,"Boy",15
468,"Girl",11
4964,"Girl",13
7267,"Boy",15
5213,"Boy",15
5288,"Girl",15
5777,"Girl",15
759,"Girl",11
109,"Boy",11
5659,"Girl",15
7074,"Boy",15
5786,"Girl",15
7191,"Boy",15
5668,"Boy",15
4329,"Boy",13
2225,"Girl",11
7038,"Boy",15
1104,"Boy",11
4990,"Girl",13
5514,"Boy",15
6078,"Boy",15
445,"Girl",11
1533,"Girl",11
